1 84.73
2 99.53
3 87.63
4 104.61
5 136.09
6 85.54
7 97.92
8 93.18
9 121.12
10 92.28
11 79.1
12 84.34
13 89.56
14 99.91
15 122.16
16 98.16
17 87.36
18 101.82
19 122.23
20 84.11
21 118.08
22 121.58
23 92.94
24 95.82
25 101.6
26 89.94
27 102.4
28 77.71
29 118.89
30 86.93
31 90.38
32 109.46
33 99.22
34 102.37
35 84.51
36 105.01
37 130.41
38 100.25
39 92.64
40 104.16
41 107.1
42 106.9
43 111.8
44 106.29
45 109.89
46 118.76
47 105.03
48 106.76
49 91.86
50 131.32
51 101.16
52 99.99
53 102.25
54 81.19
55 103.15
56 90.75
57 96.07
58 89.73
59 108.67
60 114.51
61 85.55
62 86.04
63 87.06
64 95.55
65 86.09
66 105.51
67 102.87
68 112.33
69 117.5
70 94.61
71 88.21
72 86.29
73 85.07
74 71.35
75 91.48
76 87.37
77 80.05
78 115.39
79 121.51
80 88.15
81 99.7
82 81.98
83 102.24
84 85.43
85 78.94
86 90.11
87 123.5
88 84.41
89 106.29
90 114.85
91 114.93
92 81.67
93 100.52
94 78.18
95 99.24
96 103.08
97 98.92
98 86.21
99 113.21
100 114.93
